[18:45:09] [ServerMain/INFO]: Environment: authHost='https://authserver.mojang.com', accountsHost='https://api.mojang.com', sessionHost='https://sessionserver.mojang.com', servicesHost='https://api.minecraftservices.com', name='PROD'
[18:45:10] [ServerMain/INFO]: Loaded 7 recipes
[18:45:10] [ServerMain/INFO]: Loaded 1271 advancements
[18:45:11] [Server thread/INFO]: Starting minecraft server version 1.20.1
[18:45:11] [Server thread/INFO]: Loading properties
[18:45:11] [Server thread/INFO]: Default game type: SURVIVAL
[18:45:11] [Server thread/INFO]: Generating keypair
[18:45:11] [Server thread/INFO]: Starting Minecraft server on *:25565
[18:45:11] [Server thread/INFO]: Using epoll channel type
[18:45:11] [Server thread/WARN]: **** SERVER IS RUNNING IN OFFLINE/INSECURE MODE!
[18:45:11] [Server thread/WARN]: The server will make no attempt to authenticate usernames. Beware.
[18:45:11] [Server thread/WARN]: While this makes the game possible to play without internet access, it also opens up the ability for hackers to connect with any username they choose.
[18:45:11] [Server thread/WARN]: To change this, set "online-mode" to "true" in the server.properties file.
[18:45:11] [Server thread/INFO]: Preparing level "world"
[18:45:16] [Server thread/INFO]: Preparing start region for dimension minecraft:overworld
[18:45:17] [Worker-Main-2/INFO]: Preparing spawn area: 0%
[18:45:17] [Worker-Main-2/INFO]: Preparing spawn area: 0%
[18:45:17] [Worker-Main-3/INFO]: Preparing spawn area: 0%
[18:45:17] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[18:45:18] [Worker-Main-3/INFO]: Preparing spawn area: 0%
[18:45:18] [Worker-Main-2/INFO]: Preparing spawn area: 1%
[18:45:19] [Worker-Main-3/INFO]: Preparing spawn area: 2%
[18:45:19] [Worker-Main-2/INFO]: Preparing spawn area: 3%
[18:45:20] [Worker-Main-2/INFO]: Preparing spawn area: 4%
[18:45:20] [Worker-Main-1/INFO]: Preparing spawn area: 5%
[18:45:21] [Worker-Main-2/INFO]: Preparing spawn area: 6%
[18:45:21] [Worker-Main-2/INFO]: Preparing spawn area: 8%
[18:45:22] [Worker-Main-2/INFO]: Preparing spawn area: 9%
[18:45:22] [Worker-Main-3/INFO]: Preparing spawn area: 12%
[18:45:23] [Worker-Main-1/INFO]: Preparing spawn area: 13%
[18:45:23] [Worker-Main-2/INFO]: Preparing spawn area: 15%
[18:45:24] [Worker-Main-3/INFO]: Preparing spawn area: 17%
[18:45:24] [Worker-Main-1/INFO]: Preparing spawn area: 19%
[18:45:25] [Worker-Main-1/INFO]: Preparing spawn area: 21%
[18:45:25] [Worker-Main-1/INFO]: Preparing spawn area: 23%
[18:45:26] [Worker-Main-3/INFO]: Preparing spawn area: 24%
[18:45:26] [Worker-Main-3/INFO]: Preparing spawn area: 26%
[18:45:27] [Worker-Main-3/INFO]: Preparing spawn area: 29%
[18:45:27] [Worker-Main-3/INFO]: Preparing spawn area: 31%
[18:45:28] [Worker-Main-1/INFO]: Preparing spawn area: 34%
[18:45:28] [Worker-Main-3/INFO]: Preparing spawn area: 36%
[18:45:29] [Worker-Main-1/INFO]: Preparing spawn area: 39%
[18:45:29] [Worker-Main-2/INFO]: Preparing spawn area: 41%
[18:45:30] [Worker-Main-2/INFO]: Preparing spawn area: 44%
[18:45:30] [Worker-Main-2/INFO]: Preparing spawn area: 46%
[18:45:31] [Worker-Main-1/INFO]: Preparing spawn area: 48%
[18:45:31] [Worker-Main-1/INFO]: Preparing spawn area: 51%
[18:45:32] [Worker-Main-3/INFO]: Preparing spawn area: 55%
[18:45:32] [Worker-Main-3/INFO]: Preparing spawn area: 56%
[18:45:33] [Worker-Main-2/INFO]: Preparing spawn area: 59%
[18:45:33] [Worker-Main-2/INFO]: Preparing spawn area: 63%
[18:45:34] [Worker-Main-3/INFO]: Preparing spawn area: 66%
[18:45:34] [Worker-Main-2/INFO]: Preparing spawn area: 68%
[18:45:35] [Worker-Main-1/INFO]: Preparing spawn area: 70%
[18:45:35] [Worker-Main-3/INFO]: Preparing spawn area: 73%
[18:45:36] [Worker-Main-1/INFO]: Preparing spawn area: 77%
[18:45:36] [Worker-Main-3/INFO]: Preparing spawn area: 81%
[18:45:37] [Worker-Main-2/INFO]: Preparing spawn area: 84%
[18:45:37] [Worker-Main-3/INFO]: Preparing spawn area: 86%
[18:45:38] [Worker-Main-2/INFO]: Preparing spawn area: 90%
[18:45:38] [Worker-Main-2/INFO]: Preparing spawn area: 94%
[18:45:39] [Worker-Main-3/INFO]: Preparing spawn area: 98%
[18:45:39] [Server thread/INFO]: Time elapsed: 23196 ms
[18:45:39] [Server thread/INFO]: Done (28.261s)! For help, type "help"
